codigo,nome,endereco,descricao,longitude,latitude,distrito
3812729,"R. JOSÉ GOMES DE GOUVEIA , 93",UA FRANZ VENACH,RUA FRANZ VENACH,-46.574308,-23.45467702,Jaçanã
330016314,"AV. NAZARÉ , 1361",RIBEIRO DO AMARAL/ R CORREIA SALGADO,R RIBEIRO DO AMARAL/ R CORREIA SALGADO,-46.609707,-23.59623802,Ipiranga
1114244,"R. MANOEL NASCIMENTO PINTO , 65",JOAO PINTO DE OLIVEIRA/ R JOSE DA SILVA RAMOS,R JOAO PINTO DE OLIVEIRA/ R JOSE DA SILVA RAMOS,-46.688563,-23.46212702,Brasilândia
410003671,"ESTR. DE TAIPAS , 1495",PASSAGEM UM/ R PHILONILIA GONCALVES DOS SANTOS,PASSAGEM UM/ R PHILONILIA GONCALVES DOS SANTOS,-46.735249,-23.44324802,Jaraguá
790015067,"AV. JOSÉ MARIA WHITAKER , 190",SANTA GENEROSA/ R LUIS GOIS,R SANTA GENEROSA/ R LUIS GOIS,-46.650082,-23.60286102,Saúde
2913529,"R. MARIA NAZARO DA SILVA , 580",FRANCISCO MASCARENHAS / R. JOSÉ ORTIZ DE CAMARGO,R. FRANCISCO MASCARENHAS / R. JOSÉ ORTIZ DE CAMARGO,-46.705417,-23.47018102,Freguesia do Ó
750006762,"AV. SAPOPEMBA , 13143",RIBEIRO DUARTE/ AV CLAUDIO AUGUSTO FERNANDES,R RIBEIRO DUARTE/ AV CLAUDIO AUGUSTO FERNANDES,-46.48151,-23.61239202,São Mateus
3014827,"R. CEL. JOÃO CABANAS , 201",ua Mal. Emanoel Marques Porto,Rua Mal. Emanoel Marques Porto,-46.685707,-23.76233702,Grajaú
360004608,"R. BACURAU , 0",ACAUA/ R CUIM,R ACAUA/ R CUIM,-46.470932,-23.52834402,Itaquera
860002538,"R. AREADO , 80",ENTRE AS RUAS FRANCISCO MONTEIRO TAVARES E JOÃO BATISTA SANTIAGO.,ENTRE AS RUAS FRANCISCO MONTEIRO TAVARES E JOÃO BATISTA SANTIAGO.,-46.412623,-23.51946102,Vila Curuçá
330010904,"R. SILVA BUENO , 1792",LABATUT/ R LIMA E SILVA,R LABATUT/ R LIMA E SILVA,-46.601077,-23.59434002,Ipiranga
40012594,"AV. JOÃO XXIII , 2508",JOAO ANGIONE/ R CLAUDIO LUIS DA COSTA,R JOAO ANGIONE/ R CLAUDIO LUIS DA COSTA,-46.522433,-23.56232902,Carrão
9112406,"AV. NADIR DIAS DE FIGUEIREDO , 1436",,,-46.594866,-23.51208902,Vila Maria
190013452,"R. CARLOS BLUM , 302",BRAS ALBANESE/ AV DOUTOR SALVADOR ROCCO,R BRAS ALBANESE/ AV DOUTOR SALVADOR ROCCO,-46.793751,-23.67098302,Capão Redondo
3515362,"R. MANUEL ÁLVARES PIMENTEL , 662",JOÃO ESTEVES ROBALO,R  JOÃO ESTEVES ROBALO,-46.393339,-23.52159402,Itaim Paulista
430006025,"R. ERVA DE SANTA LUZIA , 621",LIMAO BRAVO/ R ALTOS DO OITI,R LIMAO BRAVO/ R ALTOS DO OITI,-46.417256,-23.48706402,Jardim Helena
4312000,"R. KUMAKI AOKI , 134",AV DR JOSE ARTUR DA NOVA/ R TINGUAÇU,AV DR JOSE ARTUR DA NOVA/ R TINGUAÇU,-46.428496,-23.48077502,Jardim Helena
920016702,"R. VERGUEIRO , 2157",LARGO DONA ANA ROSA/ R PROFESSOR ARISTIDES DE MACEDO,LARGO DONA ANA ROSA/ R PROFESSOR ARISTIDES DE MACEDO,-46.63905,-23.58060902,Vila Mariana
2203142,"AV. CUPECE , 5170",AVENIDA BRAS DE ABREU,AVENIDA BRAS DE ABREU,-46.640327,-23.67920102,Cidade Ademar
420013104,"R. ALAN NAPIER , 199",VILFREDO PARETO/ R ALBERGATI CAPACELI,R VILFREDO PARETO/ R ALBERGATI CAPACELI,-46.779954,-23.74924702,Jardim Ângela
290003292,"AV. ELÍSIO TEIXEIRA LEITE , 0",PE. ACHILLES SILVESTRE/ R MANOEL DE SOUZA PACHECO,R PE. ACHILLES SILVESTRE/ R MANOEL DE SOUZA PACHECO,-46.714237,-23.46245202,Freguesia do Ó
530009975,"AV. INDIANÓPOLIS , 893",AL CANURI / PÇ LUCINHA MENDONCA,AL CANURI / PÇ LUCINHA MENDONCA,-46.653175,-23.60638002,Moema
930008468,"AV. DALILA , 462",PC PROFESSOR GOMES DE SOUSA/ R ENGENHEIRO ANTONIO LUIS IPPOLITO,PC PROFESSOR GOMES DE SOUSA/ R ENGENHEIRO ANTONIO LUIS IPPOLITO,-46.522153,-23.54757702,Vila Matilde
170011272,"ESTR. DOS MIRANDAS , 520",CABOCLINHO/ R CHICO MANA,R CABOCLINHO/ R CHICO MANA,-46.751821,-23.61772502,Campo Limpo
150010276,"R. VIEIRA DE MORAES , 1666",SELMA/ R ESTEVAO BAIAO,R SELMA/ R ESTEVAO BAIAO,-46.667202,-23.62564402,Campo Belo
5306003,"AV. MOEMA , 399",AV. NHAMBIQUARAS,AV. NHAMBIQUARAS,-46.657304,-23.60549502,Moema
110001129,"AV. PE. ORLANDO GARCIA DA SILVEIRA , 34",MIRANGOABA/ R IPAMERI,R MIRANGOABA/ R IPAMERI,-46.682463,-23.47189502,Brasilândia
4114442,"R. DA COOPERAÇÃO , 32",ILHA DA JUVENTUDE,R.ILHA DA JUVENTUDE,-46.712465,-23.44573002,Jaraguá
330016317,"R. MOREIRA E COSTA , 474",AV NAZARE/ R VICENTE DA COSTA,AV NAZARE/ R VICENTE DA COSTA,-46.609894,-23.58964402,Ipiranga
860002545,"AV. JOÃO BATISTA SANTIAGO , 128",VEL OITO/ R MANOEL RODRIGUES DA ROCHA,VEL OITO/ R MANOEL RODRIGUES DA ROCHA,-46.416188,-23.51138302,Vila Curuçá
760004862,"R. JOÃO CANDIDO VIEIRA , 160",PAULO VICENTE/ R ASCENSO FERREIRA,R PAULO VICENTE/ R ASCENSO FERREIRA,-46.445171,-23.50323902,São Miguel
300009734,"R. JEQUIRITUBA , 2740",LUISA AMELIA QUEIROS/ R JONATAS SERRANO,R LUISA AMELIA QUEIROS/ R JONATAS SERRANO,-46.68159,-23.74195802,Grajaú
1903768,"R. INTEGRADA , 240",TRAVESSA JASMIM DE VENEZA,TRAVESSA JASMIM DE VENEZA,-46.776994,-23.66533602,Capão Redondo
880000791,"AV. GUILHERME , 925",CORONEL ANTONIO FERRAZ/ R JOSE BERNARDO PINTO,R CORONEL ANTONIO FERRAZ/ R JOSE BERNARDO PINTO,-46.603885,-23.51509602,Vila Guilherme
360004961,"AV. ERNESTO SOUZA CRUZ , 553",ARTE DE SOL/ AV ANDRE CAVALCANTI,R ARTE DE SOL/ AV ANDRE CAVALCANTI,-46.463023,-23.52527402,Itaquera
650005661,"AV. S. MIGUEL , 2238",OLEGARIO DE OLIVEIRA/ R CONCEICAO DO RIO VERDE,R OLEGARIO DE OLIVEIRA/ R CONCEICAO DO RIO VERDE,-46.509308,-23.51119602,Ponte Rasa
150010518,"AV. JOÃO PEDRO CARDOSO , 158",CONDE DE LA HURE/ R RIBEIROLES,R CONDE DE LA HURE/ R RIBEIROLES,-46.65895,-23.63503802,Campo Belo
6607646,"R. PE. JOÃO DA CUNHA , 464",,,-46.794522,-23.60134802,Raposo Tavares
110003324,"AV. DEP. CANTIDIO SAMPAIO , 5189",JOAO CORREA CASTRO/ R ALEXANDRE SILVA,R JOAO CORREA CASTRO/ R ALEXANDRE SILVA,-46.707434,-23.44174002,Brasilândia
6009736,"R. CIRENE JORGE RIBEIRO , 465",UA BELARMINO REGO,RUA BELARMINO REGO,-46.528961,-23.51639402,Penha
3015032,"R. MANUEL CANALES , 35",,,-46.691504,-23.77522702,Grajaú
660010687,"R. BRÁS DA COSTA , 126",CORREA BITENCOURT/ R TEREZA BERTOLI,R CORREA BITENCOURT/ R TEREZA BERTOLI,-46.765864,-23.59279902,Raposo Tavares
60017196,"TERM. BARRA FUNDA LADO SUL PLAT. B , 0",AV TOMAS EDSON/ R PEDRO MACHADO,AV TOMAS EDSON/ R PEDRO MACHADO,-46.66675,-23.52630302,Barra Funda
7110436,"R. DUARTE DE AZEVEDO , 338",,,-46.62247,-23.50099002,Santana
4614867,"R. BEGÔNIA REAL , 200",E.E. JARDIM PEDRA BRANCA,E.E. JARDIM PEDRA BRANCA,-46.418591,-23.58361702,José Bonifácio
4203503,"ESTR. DO M BOI MIRIM , 5788",UA ALVARO FERREIRA,RUA ALVARO FERREIRA,-46.779839,-23.69441702,Jardim Ângela
410003603,"AV. AMADOR AGUIAR , 570",JAIRO DE ALMEIDA MACHADO/ R PRF. ONESIMO SILVEIRA,R JAIRO DE ALMEIDA MACHADO/ R PRF. ONESIMO SILVEIRA,-46.729638,-23.44327602,Jaraguá
740006459,"AV. MORAIS COSTA , 294",UA DR. SINÉSIO RANGEL PESTANA,RUA DR. SINÉSIO RANGEL PESTANA,-46.530525,-23.60555102,São Lucas
290001244,"R. MARIA NAZARO DA SILVA , 679",JOSE ORTIZ DE CAMARGO/ R RAIMUNDO DA CUNHA MATOS,R JOSE ORTIZ DE CAMARGO/ R RAIMUNDO DA CUNHA MATOS,-46.705841,-23.47100602,Freguesia do Ó
190013144,"R. DIAMANTE VERDE , 213",ARAL/ R TIBET,R ARAL/ R TIBET,-46.787054,-23.68654802,Capão Redondo
170011180,"R. JOÃO ALPHONSUS , 80",JORGE OZI/ R MANOEL GRANDINI CASQUEL,R JORGE OZI/ R MANOEL GRANDINI CASQUEL,-46.762078,-23.63785502,Campo Limpo
250005900,"TERM. CIDADE TIRADENTES - PLATAFORMA 2 , 0",PLATAFORMA 2 - PMV 14,PLATAFORMA 2 - PMV 14,-46.407871,-23.58317602,Cidade Tiradentes
410003469,"R. VASCO BALBOA , 323",VIELA QUATRO/ R VIRGINIA GALILEI,VIELA QUATRO/ R VIRGINIA GALILEI,-46.750457,-23.44416902,Jaraguá
50004442,"E. T. ARTUR ALVIM - PLAT. A , 0",AV AGUIA DE HAIA/ R BOIPEVA,AV AGUIA DE HAIA/ R BOIPEVA,-46.48326,-23.54011202,Artur Alvim
9309466,"AV. DALILA , 137",,,-46.520919,-23.54473302,Vila Matilde
830003869,"AV. CEL. SEZEFREDO FAGUNDES , 5411",TV NSRA DA PIEDADE/ EST DE SERVIDAO,TV NSRA DA PIEDADE/ EST DE SERVIDAO,-46.5918,-23.43844902,Tremembé
3703122,"R. PRAIA DO CEREJO , 201",Av. Túlio Teodoro de Campos,Av. Túlio Teodoro de Campos,-46.663878,-23.63980402,Jabaquara
3115305,"R. FLAMíNIO TRESTI , 21",UA UTARO KANAI,RUA UTARO KANAI,-46.394522,-23.56675102,Guaianases
4614929,"R. CHUBEI TAKAGASHI , 289",CONDOMINIO RESIDENCIAL JOSÉ BELARMINO,CONDOMINIO RESIDENCIAL JOSÉ BELARMINO,-46.425623,-23.56810502,José Bonifácio
7405363,"R. SECUNDINO DOMINGUES , 84",UA FELIPE CARDELINO,RUA FELIPE CARDELINO,-46.559653,-23.58842202,São Lucas
220007921,"R. ALICE DOS SANTOS PEIXE , 23",UA GLICERIO ALMEIDA MACIEL,RUA GLICERIO ALMEIDA MACIEL,-46.656119,-23.68653302,Cidade Ademar
706310,"AV. BRIG. LUÍS ANTÔNIO , 1804",PARADA TREZE DE MAIO C_B,PARADA TREZE DE MAIO C_B,-46.646414,-23.56393902,Bela Vista
620003148,"R. ESTEVAN RIBEIRO REZENDE , 531",ALAGOA NOVA/ R CESARIO DE MIRANDA RIBEIRO,R ALAGOA NOVA/ R CESARIO DE MIRANDA RIBEIRO,-46.745979,-23.40037002,Perus
3812770,"PÇA. DR. JOÃO BATISTA VASQUES , 0",Av. Guapira,Av. Guapira,-46.584257,-23.46597302,Jaçanã
870008686,"R. PRETORIA , 444",SAO CONSTANCIO/ PRACA SAO CONSTANCIO,R SAO CONSTANCIO/ PRACA SAO CONSTANCIO,-46.550875,-23.56052202,Vila Formosa
900014858,"AC. A AV. EMB. MACEDO SOARES , 0",Pc Armando Del Debbio/ R Samuel Klabin,Pc Armando Del Debbio/ R Samuel Klabin,-46.726625,-23.51663402,Vila Leopoldina
9504452,"R. GASPAR BARRETO , 439",COSTA BARROS,R   COSTA BARROS,-46.551231,-23.60024302,Vila Prudente
480012934,"R. WILLIAM SPEERS , 738",TENENTE LANDY/ R ALVES BRANCO,R TENENTE LANDY/ R ALVES BRANCO,-46.701938,-23.51829402,Lapa
220013845,"AV. CUPECE , 3397",PROFESSOR RODOLPHO DE FREITAS/ AV RODRIGUES MONTEMOR,R PROFESSOR RODOLPHO DE FREITAS/ AV RODRIGUES MONTEMOR,-46.652671,-23.66763702,Cidade Ademar
590013865,"R. VICENTE STRICHALSKY , 732",UA LUÍS HASSELMAN,RUA LUÍS HASSELMAN,-46.633264,-23.70400502,Pedreira
4715165,"R. PROF. COSME DEODATO TADEU , 601",UA ANTÔNIO THADEO,RUA ANTÔNIO THADEO,-46.404592,-23.54481602,Lajeado
7805252,"AV. DO ORATÓRIO , 5803",UA JOÃO D?AMBRÓSIO,RUA JOÃO D?AMBRÓSIO,-46.522245,-23.60652402,São Lucas
800016510,"TERM. PARQUE DOM PEDRO II - PLAT 03 , 0",AV DO ESTADO/ VDTO ANTONIO NAKASHIMA - (PMV - 20),AV DO ESTADO/ VDTO ANTONIO NAKASHIMA - (PMV - 20),-46.629743,-23.54764202,Sé
