nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
CER II VILA PRUDENTE,Centro de Reabilitação,Municipal,"PRAÇA DO CENTENARIO DE VILA PRUDENTE, 108",VILA PRUDENTE,03132-050,2272-0549 / 2273-1665,-46.583095,-23.58197402,Vila Prudente
CER III CAMPO LIMPO,Centro de Reabilitação,Municipal,"R. GASTAO RAUL FOURTON BOUSQUET, 377",JARDIM MARCELO,05797-000,5827-5228 / 5821-0177,-46.77313,-23.65523002,Capão Redondo
CER III CARANDIRU,Centro de Reabilitação,Municipal,"R. JOSE PEREIRA JORGE, 305",CARANDIRU,02067-020,3475-8800 / 3475-8815,-46.610739,-23.50440801,Vila Guilherme
CER III CIDADE ADEMAR,Centro de Reabilitação,Municipal,"R. CORREGO AZUL, 433",BALNEARIO MAR PAULISTA,04463-010,5612-8935,-46.659879,-23.69557501,Pedreira
CER III ERMELINO MATARAZZO,Centro de Reabilitação,Municipal,"R. ANTONIO CARLOS LAMENGO, 54",VILA PARANAGUA,03807-080,2838-0574,-46.472813,-23.50226002,Ermelino Matarazzo
CER III INTERLAGOS,Centro de Reabilitação,Municipal,"AV. DO RIO BONITO, 3100",SOCORRO,04776-003,5666-7636,-46.70126079,-23.69827215,Socorro
CER III LAPA,Centro de Reabilitação,Municipal,"R. CATÃO, 420",VILA ROMANA,05049-000,3862-1576,-46.700702,-23.52457502,Lapa
CER III MOEMA,Centro de Reabilitação,Municipal,"AV. DOS CARINAS, 519",MOEMA,04086-011,5054-2851,-46.665388,-23.61418001,Moema
CER III PENHA,Centro de Reabilitação,Municipal,"PRAÇA NOSSA SENHORA DA PENHA, 55",PENHA,03632-010,2225-2537,-46.550441,-23.52646002,Penha
CER III PIRITUBA - LIBERATO RAGONHA,Centro de Reabilitação,Municipal,"R. PEDRO SERNAGIOTTI, 380",PARQUE SAO DOMINGOS,05124-050,3245-9040,-46.73409932,-23.50060926,São Domingos
CER III SANTO AMARO,Centro de Reabilitação,Municipal,"AV. MIGUEL YUNES, 491",USINA PIRATININGA,04444-000,5096-3466 / 5041-5873,-46.688133,-23.68840901,Campo Grande
CER III SÃO MATEUS,Centro de Reabilitação,Municipal,"AV. OURO VERDE DE MINAS, 1195",JARDIM IV CENTENARIO,03937-090,2010-0494,-46.497364,-23.58407501,São Mateus
CER III SAPOPEMBA,Centro de Reabilitação,Municipal,"AV. SAPOPEMBA, 8518",JD PLANALTO,03988-000,2011-2317,-46.51658891,-23.59285977,Sapopemba
CER III SÉ,Centro de Reabilitação,Municipal,"R. FREDERICO ALVARENGA, 259",SE,01020-030,3242-3566 / 3107-5801,-46.628102,-23.55124401,Sé
CER IV FLAVIO GIANNOTTI,Centro de Reabilitação,Municipal,"R. XAVIER DE ALMEIDA, 210",IPIRANGA,04211-000,2063-3144 / 2063-0622,-46.608734,-23.58729002,Ipiranga
CER IV M BOI MIRIM,Centro de Reabilitação,Municipal,"AV. ALEXANDRINA MALISANO DE LIMA, 601",JARDIM HERCULANO,04920-000,5832-2200,-46.75715,-23.69412102,Jardim Ângela
CER IV MILTON ALDRED,Centro de Reabilitação,Municipal,"R. SÃO CAETANO DO SUL, 381",GRAJAU,04840-230,5932-2015 / 5932-2240,-46.686013,-23.75547002,Grajaú
CER IV SÃO MIGUEL,Centro de Reabilitação,Municipal,"R. PROFESSOR ANTONIO GAMA DE CERQUEIRA, 347",SÃO MIGUEL,08010-130,3857-0862,-46.440799,-23.49665001,São Miguel
CEREST-CENTRO DE REFERÊNCIA ESTADUAL SAUDE DO TRABALHADOR - SÃO PAULO,Ambulatório de Especialidades,Estadual,"AV DR ARNALDO, 351",CERQUEIRA CESAR,01246-000,3065-4771,-46.668276,-23.55517102,Consolação
CLÍNICA ODONTOLÓGICA ADYR AMARAL GURGEL,Clínica Odontológica de Especialidades,Municipal,"R. SÃO SAMUEL, 70",VL MARIANA,04120-030,5549-4449,-46.633944,-23.59426602,Vila Mariana
