nome,categoria,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
UNIVERSO,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"PRACA HERENY DA COSTA, 98",,03286-160,,-46.53424034,-23.58981299,São Lucas
VL. DARLY JD TEREZA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA BARTOLOMEU CORREA BUENO, 178",,03261-040,,-46.55229548,-23.58769744,São Lucas
ABAM,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA BENJAMIN REIS, 105",,03178-060,,-46.58769708,-23.55673662,Mooca
BASILEIA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA DOLORES DURAN, 285",,,,-46.65180102,-23.48168878,Mandaqui
R. SANTA TERESINHA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA CEL JOAQUIM FERREIRA DE SOUZA, 311",,,,-46.64029844,-23.47849317,Mandaqui
ALVORADA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA DOS SITIANTES, 131",,,,-46.69163007,-23.49129016,Freguesia do Ó
CURTIBALL,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA PASCOAL DA COSTA, 04",,,,-46.69300117,-23.49974482,Freguesia do Ó
VILA ALBERTINA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA RIBEIRO DE MORAIS, 382",,,,-46.69032141,-23.50171162,Freguesia do Ó
AGUIA DE OURO,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"AVENIDA PRESIDENTE CASTELO BRANCO, 7683",,,,-46.67955241,-23.51449919,Barra Funda
JACENA,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"RUA DOM PEDRO HENRIQUE DE ORLEANS E BRAGANCA, 179",,,,-46.74043654,-23.51580377,Jaguara
MORADA DO SOL,CLUBE DA COMUNIDADE,Clube da Comunidade com Quadra,Público - Municipal,"R ARTUR AZEVEDO, 55",,,,-46.67335377,-23.55774347,Jardim Paulista
