nome,modal,empresa,linha,situacao,longitude,latitude,distrito
GUAIANASES,Trem,CPTM,CORAL,OPERANDO,-46.41561175,-23.54231842,Guaianases
USP LESTE,Trem,CPTM,SAFIRA,OPERANDO,-46.50071067,-23.48547967,Ermelino Matarazzo
PALMEIRAS - BARRA FUNDA,Trem,CPTM,RUBI,OPERANDO,-46.66751601,-23.5255841,Barra Funda
PALMEIRAS - BARRA FUNDA,Trem,VIAMOBILIDADE,DIAMANTE,OPERANDO,-46.66751601,-23.5255841,Barra Funda
PALMEIRAS - BARRA FUNDA,Trem,CPTM,TURQUESA,OPERANDO,-46.66751601,-23.5255841,Barra Funda
PALMEIRAS - BARRA FUNDA,Trem,CPTM,CORAL,OPERANDO,-46.66751601,-23.5255841,Barra Funda
COMENDADOR ERMELINO,Trem,CPTM,SAFIRA,OPERANDO,-46.4824092,-23.48514207,Ermelino Matarazzo
ENGENHEIRO GOULART,Trem,CPTM,SAFIRA,OPERANDO,-46.52010212,-23.49810114,Cangaíba
ENGENHEIRO GOULART,Trem,CPTM,JADE,OPERANDO,-46.52010212,-23.49810114,Cangaíba
MENDES / BRUNO COVAS,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.70927922,-23.75429067,Cidade Dutra
VARGINHA,Trem,VIAMOBILIDADE,ESMERALDA,OPERANDO,-46.71190053,-23.77000136,Parelheiros
